premise_name,opening_date,closing_date,premise_address1
WENDY'S   #2390,11/1/1999 12:00:00 AM,,5402 S MIAMI BLVD
MCDONALDS,11/1/1999 12:00:00 AM,,204 WEST HWY 54
FOUR SQUARE RESTAURANT,11/3/1999 12:00:00 AM,,2701 CHAPEL HILL ROAD
ARBY'S,11/3/1999 12:00:00 AM,,3311 HILLSBOROUGH RD
ARBY'S,11/3/1999 12:00:00 AM,,2115 AVONDALE DR
MCDONALD S #3573,7/1/1990 12:00:00 AM,,4301 N  ROXBORO ROAD
MCDONALD  5234,2/2/2000 12:00:00 AM,,3117 TOWER BLVD
TRIPPS RESTAURANT 17,3/20/2000 12:00:00 AM,,918 W CLUB BLVD
NANA'S,4/27/2000 12:00:00 AM,,2514 UNIVRSITY DR
IBM TIVOLI,4/27/2000 12:00:00 AM,,3901 S MIAMI BLVD
ARBY'S  148,5/26/2000 12:00:00 AM,,5278 N ROXBORO RD
BEAN TRADERS,9/22/2000 12:00:00 AM,,249 W HWY 54
SHANGHAI RESTAURANT,11/7/2000 12:00:00 AM,,3433 HILLSBOROUGH RD
EL CUSCATLECO,3/8/2001 12:00:00 AM,,4212 GARRETT ROAD
MI BARRIO,11/7/2000 12:00:00 AM,,5023 WAKE FOREST HWY
DANNY'S BAR-B-QUE,2/19/2001 12:00:00 AM,,2945 S MIAMI BLVD
COSTCO  FOOD COURT 249,2/19/2001 12:00:00 AM,,1510 NORTH POINTE DRIVE
MCDONALDS  19805,8/27/1996 12:00:00 AM,,1708 NEW RALEIGH HWY
MAYFLOWER SEAFOOD  16,1/31/2001 12:00:00 AM,,3742 CHAPEL HILL BLVD
TOP'S CHINA RESTAURANT,10/15/1993 12:00:00 AM,,1919 HOLLOWAY ST
QUINTILES BARRINGTON,3/20/2000 12:00:00 AM,,5927 S MIAMI BLVD
CHICK FIL A,4/9/1997 12:00:00 AM,,3429  HILLSBOROUGH RD
GOODBERRY'S CREAMERY,7/31/2001 12:00:00 AM,,3906 ROXBORO RD
AMF DURHAM LANES,10/24/2001 12:00:00 AM,,4508 CHAPEL HILL BLVD
BENNETT POINTE GRILL,1/16/2002 12:00:00 AM,,4625 HILLSBOROUGH RD
CHINA KING,10/24/2002 12:00:00 AM,,1821 HILLANDALE RD
ARROWHEAD INN,11/8/2001 12:00:00 AM,,106 MASON ROAD
FAMILY FARE  262,7/17/2003 12:00:00 AM,,4525 CHAPEL HILL BLVD
KFC/TACO BELL,11/29/2001 12:00:00 AM,,1804 S MIAMI BLVD
EPA CAFETERIA,1/3/2002 12:00:00 AM,,109 T W ALEXANDER DRIVE
CHARLIE S NEIGHBORHOOD BAR,1/17/2002 12:00:00 AM,,758 NINTH STREET
BASF CAFETERIA,7/8/1996 12:00:00 AM,,26 DAVIS DRIVE
CHELSEA CAFE,1/17/2002 12:00:00 AM,,1007 SLATER ROAD
WENDY S   #15,1/17/2002 12:00:00 AM,,1808 S MIAMI BLVD
EISAI CAFETERIA,2/21/2002 12:00:00 AM,,900 DAVIS DRIVE
NORDSTROM CAFE BISTRO,3/20/2002 12:00:00 AM,,6910 FAYETTEVILLE ROAD
VIN ROUGE BISTRO,3/20/2002 12:00:00 AM,,2010 HILLSBOROUGH ROAD
CHAMPPS AMERICANA #65233,3/20/2002 12:00:00 AM,,"8030 RENAISSANCE PKWY, SUITE 885"
"BARNES & NOBLE BOOKSELLERS,INC",3/20/2002 12:00:00 AM,,8030 RENAISSANCE PRKWAY
CALIFORNIA PIZZA KITCHEN,3/20/2002 12:00:00 AM,,6910 FAYETTEVILLE ROAD
WANG S GARDEN,4/29/2002 12:00:00 AM,,826 FAYETTEVILLE STREET
CAPTAIN D S,4/29/2002 12:00:00 AM,,2307 NC HWY 54
FIREBIRD S ROCKY MOUNTAIN GRIL,4/29/2002 12:00:00 AM,,8030 RENAISSANCE PARKWAY
TOMMY'S MINI MART,4/29/2002 12:00:00 AM,,1805 S MIAMI BLVD
MCDONALD S #6819,4/29/2002 12:00:00 AM,,5507 S MIAMI BLVD
CHINO LATINO,7/1/1990 12:00:00 AM,,2900 HOLLOWAY STREET
MCDONALDS #5625,1/15/1999 12:00:00 AM,,4717 NC HWY 55
KANKI JAPANESE HOUSE OF STEAKS,4/29/2002 12:00:00 AM,,3504 MT MORIAH ROAD
MAGGIANO'S LITTLE ITALY,5/17/2002 12:00:00 AM,,8030 RENAISSANCE PARKWAY
RUDINO'S,5/17/2002 12:00:00 AM,,1515 NORTH POINTE DR
QUIZNO'S SUBS #1756,6/21/2002 12:00:00 AM,,5311 E SOUTH MIAMI BLVD
DUPONT CAFETERIA,9/16/2002 12:00:00 AM,,14 T W ALEXANDER
AMANTE PIZZA,9/26/2002 12:00:00 AM,,6209 FALCONBRIDGE RD
NANTUCKET CAFE AND GRILL,11/18/2002 12:00:00 AM,,5925 FARRINGTON RD
